"","ID","year","narrowness"
"J1_L_20100921BAT_SJ1-245 processed","J1",2010,3.47395662006249
"J11_L_20031103KCB_DG1-173 processed","J11",2003,3.13603719002553
"J14_L_20140902DKE_SJ1-429 processed","J14",2014,3.53004159379352
"J14_L_20150113MLM_JF7-009_Processed","J14",2015,3.26978964325718
"J14_L_20151201DAG_SJ1....JPG_Processed","J14",2015,3.36598674138056
"J16_L_20071015DKE_DG1....JPG_Processed","J16",2007,3.31684856997022
"J16_L_20090319NWF_DG7_078_Processed","J16",2009,4.28361176133688
"J16_L_20110503DKE_GI1-505_Processed","J16",2011,4.15849456342204
"J16_L_20110920DKE_SJ1-519_Processed","J16",2011,3.88934283372822
"J16_L_20120522EEH_SJ1-087_Processed","J16",2012,4.09019646135551
"J16_L_20150922EEH_SJ1-214_Processed","J16",2015,3.94106939773938
"J16_L_20160325MLM_JF7-020_Processed","J16",2016,3.98172307371527
"J16_L_20160414MLM_JF7-040_Processed","J16",2016,4.07532770221291
"J16_L_20170531DKE_SJ1-0174_Processed","J16",2017,3.69163230407661
"J16_L_20180615MNW_SJ1-320_Processed","J16",2018,4.21058799417745
"J17_L_20041115KCG_DG1-146_Processed","J17",2004,4.233638929645
"J17_L_20090621EEH_DG2-0085_Processed","J17",2009,3.90803666269135
"J17_L_20121023BAB_SJ1-441_Processed","J17",2012,3.92353034219084
"J17_L_20130910EEH_SJ1-052_Processed","J1",2013,3.84371945827488
"J17_L_20151024DKE_SJ1-0311_Processed","J17",2015,3.71390589962071
"J19_L_20150705DKE_SJ1-1423_Processed","J19",2015,4.11224662669109
"J19_L_20180321KCB_JF1-172.JPG_Processed","J19",2018,4.03375192625224
"J2_L_20061011KMJ_DG1_142_Processed","J2_",2006,3.13766744826138
"J2_L_20140531DKE_SJ1-0598_Processed","J2_",2014,3.47391355725185
"J2_L_20150723SAM_SJ1-1125_Processed","J2_",2015,3.65651452431882
"J22_L_20101102DLS_SJ1-0604_Processed","J22",2010,3.84094814176304
"J22_L_20110123DLS_SJ5-0249_Processed","J22",2011,3.48115952698476
"J22_L_20151216DKE_SJ1-584_Processed","J22",2015,3.59949890588484
"J22_L_20160118MBH_PS7-416_Processed","J22",2016,3.74377751504157
"J22_L_20160925DKE_GI1-0687_Processed","J22",2016,3.3295236635086
"J22_L_20180202DKE_SJ1-741_Processed","J22",2018,3.75525374077906
"J22_L_20180903DKE_SJ1-112_Processed","J22",2018,3.74596260484844
"J26_L_20080408DKE_DG1-077_Processed","J26",2008,3.76868462311956
"J26_L_20080918DKE_DG1-139_Processed","J26",2008,3.895264152611
"J26_L_20110515DKE_GI1-232_Processed","J26",2011,3.64874950416216
"J27_L_20080730CES_DG1_031_Processed","J27",2008,3.53734373436238
"J27_L_20080730KCG_DG1-038_Processed","J27",2008,3.49457396069177
"J27_L_20130903DKE_SJ1-521_Processed","J27",2013,2.94069942633833
"J28_L_20080408DKE_DG1-104_Processed","J28",2008,3.92946342437049
"J28_L_20120520KCB_JF1-182_Processed","J28",2012,4.0805644766846
"J28_L_20160225DAG_SJ1-239_Processed","J28",2016,4.2650430298578
"J30_L_20061008EEH_DG1_142_Processed","J30",2006,3.80227051943759
"J30_L_20090727EAF_DG1_064_Processed","J30",2009,3.79276904763053
"J30_L_20090727EEH_DG1-0205_Processed","J30",2009,3.59439799675241
"J31_L_20161221MAP_SJ1-345_Processed","J31",2016,3.66924386301577
"J32_L_20130601BAB_SJ1-0522_Processed","J32",2013,4.42586436412612
"J33_L_20090831DKE_DG1-432_Processed","J33",2009,3.50488350432182
"J33_L_20090917DKE_DG1-310_Processed","J33",2009,3.74990788698987
"J34_L_20100824DKE_SJ1-884_Processed","J34",2010,3.90641472705952
"J34_L_20130708DKE_SJ2-973_Processed","J34",2013,3.18620122950476
"J34_L_20151220DKE_SJ1-102_Processed","J34",2015,3.56526855034756
"J34_L_20160331DAG_SJ1-318_Processed","J34",2016,3.32742878697946
"J35_L_20011024KMJ_DG1_0019_Processed","J35",2001,4.58639836252196
"J35_L_20080706ACU_DG2-130_Processed","J35",2008,4.39305720741014
"J35_L_20090917AVG_DG1-044_Processed","J35",2009,4.48269866758737
"J35_L_20090917DKE_DG1-031_Processed","J35",2009,4.48678184458961
"J35_L_20160919KCB_SJ2-0514_Processed","J35",2016,4.65324559459613
"J35_L_20170531DKE_SJ1-0571_Processed","J35",2017,4.46063715124485
"J36_L_20070726EAF_DG1-076_Processed","J36",2007,3.49854350140736
"J36_L_20080408JWD_DG1_113_Processed","J36",2008,3.67015333805284
"J36_L_20120822KCB_SJ2-427_Processed","J36",2012,3.5074053152671
"J36_L_20130601DKE_SJ1-1534_Processed","J36",2013,3.53908333766369
"J36_L_20150111MLM_JF7-067_Processed","J36",2015,3.70731292282869
"J36_L_20180517MCJ_WV7-040_Processed","J36",2018,3.59252499505673
"J36_L_20180918DKE_SJ1-0946_Processed","J36",2018,3.72528594153131
"J37_L_20170531DKE_SJ1-0179_Processed","J37",2017,3.72062005973189
"J37_L_20180903DKE_SJ1-227_Processed","J37",2018,3.46169396162267
"J38_L_20041006ACU_DG1- 059_Processed","J38",2004,3.49627695095817
"J38_L_20080401DKE_DG1-079_Processed","J38",2008,3.56673932415141
"J38_L_20120712EEH_SJ1-056_processed","J38",2012,3.54246796495491
"J38_L_20160225DKE_SJ1-735_Processed","J38",2016,3.95037308750534
"J38_L_20180517MCJ_WV7-024_Processed","J38",2018,3.42142522793092
"J39_L_20031006DKE_DG1-068_Processed","J39",2003,3.19817882586093
"J39_L_20060726KMJ_DG2_078_Processed","J39",2006,3.88651394701714
"J39_L_20070502DKE_DG1-220_processed","J39",2007,3.68000740179296
"J39_L_20070607EAF_DG1_ (60)_Processed","J39",2007,3.79296130379113
"J39_L_20070628AVG_DG1-147_processed","J39",2007,3.70770912918737
"J39_L_20080401DKE_172_processed","J39",2008,3.51037881649526
"J39_L_20080401DKE_DG1-172_Processed","J39",2008,3.5104030976357
"J39_L_20080408JWD_DG1_055_Processed","J39",2008,3.36676584889131
"J39_L_20080509DKE_DG1-078_Processed","J39",2008,3.7045070852754
"J39_L_20080603EEH_DG1-007_processed","J39",2008,3.66505727324852
"J39_L_20120530EEH_SJ1-302_processed","J39",2012,3.88804768591546
"J39_L_20150611BAB_SJ1-032_Processed","J39",2015,4.00906752663159
"J39_L_20151024DAG_SJ1-1142_Processed","J39",2015,4.09497175938196
"J39_L_20151024DKE_SJ1-0982_processed","J39",2015,4.2506118345098
"J40_L_20051003DKE_DG1-194_processed","J40",2005,3.40380995925997
"J40_L_20051011KCB_DG1-148_processed","J40",2005,3.34604546292895
"J40_L_20090727DKE_DG1-230_Processed","J40",2009,4.20621999552338
"J40_L_20090911STJ_DG2-503_Processed","J40",2009,4.1253458249034
"J40_L_20151024DAG_SJ1-1146_Processed","J40",2015,4.3733328137038
"J41_L_20080401DKE_DG1-063_Processed","J41",2008,3.97187536620472
