ID,yob,dob,yod,pod,mother,sex,matriline,father,right.narrowness.avg,left.narrowness.average,,r.narr.mother,l.narr.mother,narr.diff.mother,r.narr.father,l.narr.father,narr.diff.father,FA.narrowness,FA.level,right.notch,left.notch,m.r.notch,m.l.notch,FA.notch,FA.same,no.FA,both.FA.all,both.FA
J1,1951,1950,2010,J,NA,M,NA,NA,2.666836197,3.47395662,0.807120423,NA,NA,NA,NA,NA,NA,Y,high,Y,Y,NA,NA,N,N,N,N,N
J14,1973,1970,2016,J,J12,F,J12,NA,3.267329621,3.388605993,0.121276372,NA,NA,NA,NA,NA,NA,N,low,Y,Y,NA,NA,N,Y,Y,N,NA
J16,1972,1970,NA,J,NA,F,J10,NA,3.493502914,3.982965509,0.489462596,NA,NA,NA,NA,NA,NA,Y,medium,N,N,NA,NA,N,N,N,N,N
J17,1977,1970,2019,J,J5,F,J5,NA,3.595081523,3.924566258,0.329484736,NA,NA,NA,NA,NA,NA,Y,medium,Y,Y,NA,NA,N,N,N,N,N
J19,1979,1970,NA,J,J4,F,J4,*4,3.682057247,4.072999277,0.39094203,NA,NA,NA,NA,NA,NA,Y,medium,Y,Y,NA,NA,N,N,N,N,N
J2,1911,1911,2016,J,NA,F,NA,NA,3.196901291,3.42269851,0.225797219,NA,NA,NA,NA,NA,NA,N,low,Y,Y,NA,NA,N,Y,Y,N,NA
J22,1985,1980,NA,J,J10,F,J10,J1,2.903050263,3.642303443,0.73925318,NA,NA,NA,2.666836197,3.47395662,0.807120423,Y,high,Y,Y,NA,NA,N,N,N,N,N
J26,1991,1990,NA,J,J16,M,J16,*7,3.224184153,3.770899427,0.546715274,3.493502914,3.982965509,0.489462596,NA,NA,NA,Y,medium,Y,Y,N,N,N,N,N,N,N
J27,1991,1990,NA,J,J11,M,J4,J1,2.995169869,3.342468898,0.347299029,NA,NA,NA,2.666836197,3.47395662,0.807120423,Y,medium,N,N,NA,NA,N,N,N,N,N
J28,1993,1990,2016,J,J17,F,J5,J1,4.152777421,4.09169031,-0.061087111,3.595081523,3.924566258,0.329484736,2.666836197,3.47395662,0.807120423,N,low,Y,Y,Y,Y,N,Y,Y,N,NA
J30,1995,1990,2011,J,J14,M,J12,*1,3.452502095,3.729812521,0.277310426,3.267329621,3.388605993,0.121276372,NA,NA,NA,N,low,Y,N,Y,Y,Y,N,N,N,NA
J31,1995,1990,NA,J,J11,F,J4,*7,3.067486694,3.669243863,0.601757169,NA,NA,NA,NA,NA,NA,Y,medium,Y,N,NA,NA,Y,Y,N,Y,Y
J32,1996,1990,2014,J,J20,F,J10,J1,3.438524903,4.425864364,0.987339462,NA,NA,NA,2.666836197,3.47395662,0.807120423,Y,high,Y,N,NA,NA,Y,Y,N,Y,Y
J33,1996,1990,2010,J,J16,M,J16,J1,2.984024977,3.627395696,0.643370719,3.493502914,3.982965509,0.489462596,2.666836197,3.47395662,0.807120423,Y,medium,Y,Y,N,N,N,N,N,N,N
J34,1998,1990,2016,J,J22,M,J10,L41,2.984674122,3.467809834,0.483135712,2.903050263,3.642303443,0.73925318,2.65000296,3.473480284,0.823477324,Y,medium,Y,N,Y,Y,Y,Y,N,Y,Y
J35,1998,1990,NA,J,J17,F,J5,L41,4.234774683,4.510469805,0.275695122,3.595081523,3.924566258,0.329484736,2.65000296,3.473480284,0.823477324,N,low,Y,Y,Y,Y,N,Y,Y,N,NA
J36,1999,1990,NA,J,J16,F,J16,L41,3.122891299,3.605758479,0.48286718,3.493502914,3.982965509,0.489462596,2.65000296,3.473480284,0.823477324,Y,medium,Y,N,N,N,Y,Y,N,Y,Y
J37,2001,2000,NA,J,J14,F,J12,L41,2.935677058,3.591157011,0.655479954,3.267329621,3.388605993,0.121276372,2.65000296,3.473480284,0.823477324,Y,medium,Y,Y,Y,Y,N,N,N,N,N
J38,2003,2000,NA,J,J22,M,J10,*8,2.504295525,3.595456511,1.091160986,2.903050263,3.642303443,0.73925318,NA,NA,NA,Y,high,Y,Y,Y,Y,N,N,N,N,N
J40,2004,2000,NA,J,J14,F,J12,L41,3.381343303,3.890950811,0.509607508,3.267329621,3.388605993,0.121276372,2.65000296,3.473480284,0.823477324,Y,medium,Y,Y,Y,Y,N,N,N,N,N
J41,2005,2000,NA,J,J19,F,J4,J1,3.644286798,4.082977955,0.438691157,3.682057247,4.072999277,0.39094203,2.666836197,3.47395662,0.807120423,Y,medium,Y,Y,Y,Y,N,N,N,N,N
J42,2007,2000,NA,J,J16,F,J16,J26,3.181464233,3.503088662,0.321624429,3.493502914,3.982965509,0.489462596,3.224184153,3.770899427,0.546715274,Y,medium,Y,Y,N,N,N,N,N,N,N
J43,2007,2000,2007,J,J14,U,J12,NA,2.655729336,4.049959078,1.394229742,3.267329621,3.388605993,0.121276372,NA,NA,NA,Y,high,N,N,Y,Y,N,N,N,N,N
J44,2009,2000,NA,J,J17,M,J5,L41,2.806653504,3.923575908,1.116922404,3.595081523,3.924566258,0.329484736,2.65000296,3.473480284,0.823477324,Y,high,Y,Y,Y,Y,N,N,N,N,N
