"","ID","year","narrowness"
"J1_R_20070703EAF_DG1-....JPG_Processed","J1",2007,2.66683619699892
"J14_R_20080401DKE_188_Processed","J14",2008,3.1116559795842
"J14_R_20080401DKE_DG1-188_Processed","J14",2008,3.10988977143846
"J14_R_20080908AVG_DG1_029_Processed","J14",2008,3.46941779655773
"J14_R_20140531DKE_SJ1-1149_Processed","J14",2014,3.11183055488552
"J14_R_20160605MLM_GI7-050_Processed","J14",2016,3.6605959681283
"J16_R_20070507KMJ_DG1-101_Processed","J16",2007,3.47821092982003
"J16_R_20150119DKE_SJ1-894_Processed","J16",2015,3.45129122767339
"J16_R_20170204MLM_JF7-0065_Processed","J16",2017,3.55100658306915
"J17_R_20090905SAM_DG1-067_Processed","J17",2009,3.77212964172905
"J17_R_20140728EEH_SJ1-160_Processed","J17",2014,3.54844353810569
"J17_R_20150705DKE_SJ1-0864_Processed","J17",2015,3.63818706686957
"J17_R_20151027DKE_SJ1-070_Processed","J17",2015,3.42156584309991
"J19_R_20061010KMJ_DG1_028_Processed","J19",2006,3.62894899120519
"J19_R_20110819DKE_GI1-272_Processed","J19",2011,3.54740533363246
"J19_R_20130515BAB_JF1-126_Processed","J19",2013,3.64046762273888
"J19_R_20130517DKE_SJ1-0780_Processed","J19",2013,3.75445519249353
"J19_R_20170531DKE_SJ1-0674_Processed","J19",2017,3.83900909446629
"J2_R_20141230DKE_SJ1-058_Processed","J2",2014,3.19690129055925
"J22_R_20140728EEH_SJ1-029_Processed","J22",2014,2.76456298655503
"J22_R_20150917DKE_SJ1-038_Processed","J22",2015,2.92401146981971
"J22_R_20180718DKE_SJ0-339_Processed","J22",2018,2.80547352488924
"J22_R_20180813ABH_JF7-004_Processed","J22",2018,3.11815306989051
"J26_R_20070703DKE_DG1....JPG_Processed","J26",2007,3.29430919615531
"J26_R_20130601BAB_SJ1-0828_Processed","J26",2013,3.2553353941262
"J26_R_20161228DKE_SJ1-292_Processed","J26",2016,3.12290786753018
"J27_R_20051015DKE_DG1-018_Processed","J27",2005,3.15797163748659
"J27_R_20090911DKE_DG3-104_Processed","J27",2009,2.83236810063917
"J28_R_20100824SAM_SJ1-110_Processed","J28",2010,4.15277742148372
"J30_R_20110628AVG_SJ1-252_Processed","J30",2011,3.45250209504918
"J31_R_20070926AVG_DG1-034_Processed","J31",2007,3.45483344073392
"J31_R_20130601DKE_SJ1-0881_Processed","J31",2013,2.79933132428826
"J31_R_20150705DKE_SJ1-0854_Processed","J31",2015,2.88826302972474
"J31_R_20180627MLM_JF7-047_Processed","J31",2018,3.21393242138913
"J32_R_20051027DKE_DG1-0298_Processed","J32",2005,3.24860251826593
"J32_R_20051027DKE_DG1-0299-1_processed","J32",2005,3.31221799738234
"J32_R_20120422DKE_SJ1-0417_Processed","J32",2012,3.41918079174065
"J32_R_20130110DKE_JF5-180_Processed","J32",2013,3.77409830267313
"J33_R_20090827SAM_DG2-115_Processed","J33",2009,2.98402497696811
"J34_R_20120422DKE_SJ1-0927_Processed","J34",2012,3.14089920932251
"J34_R_20150824MAP_SJ1-1759_Processed","J34",2015,2.82844903450994
"J35_R_20070718EAF_DG1-103_Processed","J35",2007,4.67786756783007
"J35_R_20080706ACU_DG2-105_processed","J35",2008,4.46080591983749
"J35_R_20150826KCB_SJ1-348_Processed","J35",2015,3.95066606732755
"J35_R_20160920DKE_SJ1-1191_Processed","J35",2016,3.84975917783564
"J36_R_20040401DKE_DG1-133_Processed","J36",2004,2.90382193891187
"J36_R_20080706ACU_DG2-164_Processed","J36",2008,3.38740147402265
"J36_R_20100601DKE_DG4-127_Processed","J36",2010,3.11837997202523
"J36_R_20150419DKE_SJ1-252_Processed","J36",2015,3.0819618115513
"J36_R_20160320KCB_SJ1-644_Processed","J36",2016,2.99649696944644
"J37_R_20030507DKE_DG1-075_Processed","J37",2003,2.82658145860144
"J37_R_20090914DKE_DG1-200_processed","J37",2009,2.82613439017238
"J37_R_20150119DKE_SJ1-772_Processed","J37",2015,3.01678850967158
"J37_R_20181104MAS_PS7-028_Processed","J37",2018,3.0732038712507
"J38_R_20031006DKE_DG1-133_processed","J38",2003,2.40037369634373
"J38_R_20050325DKE_DG1-023_processed","J38",2005,2.6082173535689
"J40_R_20060726KMJ_DG2_171_R","J40",2006,3.05478254082965
"J40_R_20061011KMJ_DG1_104_processed","J40",2006,3.07728722530451
"J40_R_20070612STJ_DG1-068_Processed","J40",2007,3.43063721912986
"J40_R_20070625DKE_DG1-082_Processed","J40",2007,3.34787405295622
"J40_R_20070705BVA_DG1-163_Processed","J40",2007,3.31824143382832
"J40_R_20070718EAF_DG1-099_Processed","J40",2007,3.437125286769
"J40_R_20150304DKE_SJ1-044_Processed","J40",2015,3.62633943719867
