id,yob,yod,mother,sex,father
J1,1951,2010,NA,1,NA
J10,1961,1999,NA,0,NA
J11,1971,2008,J4,0,NA
J12,1934,1996,NA,0,NA
J13,1971,1980,NA,0,NA
J14,1973,2016,J12,0,NA
J15,1976,1981,J4,1,NA
J16,1972,NA,NA,0,NA
J17,1977,2019,J5,0,NA
J18,1977,1999,J10,1,NA
J19,1979,NA,J4,0,*4
J2,1911,2016,NA,0,NA
J20,1980,1998,J10,0,NA
J21,1982,1983,J4,2,NA
J22,1985,NA,J10,0,J1
J23,1987,1991,J14,1,NA
J24,1972,1972,J12,2,NA
J25,1988,1988,J11,2,NA
J26,1991,NA,J16,1,*7
J27,1991,NA,J11,1,J1
J28,1993,2016,J17,0,J1
J29,1993,1993,J19,1,NA
J3,1952,1995,NA,1,NA
J30,1995,2011,J14,1,*1
J31,1995,NA,J11,0,*7
J32,1996,2014,J20,0,J1
J33,1996,2010,J16,1,J1
J34,1998,2016,J22,1,L41
J35,1998,NA,J17,0,L41
J36,1999,NA,J16,0,L41
J37,2001,NA,J14,0,L41
J38,2003,NA,J22,1,*8
J39,2003,NA,J11,1,J1
J4,1957,1995,NA,0,NA
J40,2004,NA,J14,0,L41
J41,2005,NA,J19,0,J1
J42,2007,NA,J16,0,J26
J43,2007,2007,J14,2,NA
J44,2009,NA,J17,1,L41
J45,2009,NA,J14,1,L41
J46,2009,NA,J28,0,J1
J47,2010,NA,J35,1,NA
J48,2011,2011,J16,2,NA
J49,2012,NA,J37,1,L79
J5,1937,1997,NA,0,NA
J50,2014,2018,J16,0,NA
J51,2015,NA,J41,1,NA
J52,2015,2017,J36,1,NA
J53,2015,NA,J17,0,L41
J54,2015,2016,J28,1,NA
J55,2016,2016,J37,2,NA
J6,1956,1998,NA,1,NA
J7,1939,1983,NA,0,NA
J8,1933,2013,NA,0,NA
J9,1917,1985,NA,0,NA
K1,1954,1997,NA,1,NA
K11,1933,2010,NA,0,NA
K12,1970,NA,K4,0,NA
K13,1971,2017,K11,0,NA
K14,1976,NA,K3,0,J1
K15,1971,1975,NA,2,NA
K16,1985,NA,K3,0,*7
K17,1965,1994,NA,1,NA
K18,1948,2004,NA,0,NA
K19,1952,1982,NA,1,NA
K2,1949,1974,NA,1,NA
K20,1987,NA,K13,0,*12
K21,1987,2021,K18,1,*7
K22,1987,NA,K12,0,*1
K23,1988,1988,K14,2,NA
K24,1990,1990,K14,2,NA
K25,1991,2019,K13,1,*12
K26,1993,NA,K14,1,*7
K27,1994,NA,K13,0,J1
K28,1994,2006,K12,0,NA
K29,1996,1998,K3,1,NA
K3,1956,1998,NA,0,NA
K30,1929,1982,NA,0,NA
K31,1999,2005,K12,1,NA
K32,2000,2000,K16,2,NA
K33,2001,NA,K22,1,L41
K34,2001,NA,K13,1,L41
K35,2002,NA,K16,1,L41
K36,2003,NA,K14,0,L41
K37,2003,NA,K12,1,J1
K38,2004,NA,K20,1,NA
K39,2006,2006,K28,2,NA
K4,1933,1999,NA,0,NA
K40,1962,2012,K18,0,NA
K41,2006,2006,K22,2,NA
K42,2008,NA,K14,1,L41
K43,2010,NA,K12,0,J1
K44,2011,NA,K27,1,L78
K46,1974,1981,K18,2,NA
K5,1952,1991,NA,1,NA
K7,1910,2008,NA,0,NA
K8,1930,1989,NA,0,NA
L1,1958,2000,NA,1,NA
L10,1958,1997,NA,1,NA
L100,2001,2014,L54,1,L41
L101,2002,2008,L67,1,L41
